workerID,optionA,optionB,violations,optionC,total,fraction_correct
A39J5RLVDTM6SM,0,1,0,1,2,0.5
A2OZTBCBOCHF9E,4,3,4,2,9,0.2222222222222222
A2BO8M77CS3SGZ,2,1,2,1,4,0.25
ACDX50KGPE97I,0,0,0,1,1,0.0
A1O4TRWZO664V3,0,0,0,1,1,0.0
A3SEELJ3NVKEPN,1,0,0,0,1,1.0
A3EGOFTCKJYGW,0,0,0,1,1,0.0
AJ60KRY0FTB1F,0,0,0,4207,4207,0.12170192536249108
A2R76CKAHFJ6JM,1,0,0,1,2,0.5
A1965LD689F8U1,345,237,235,5,587,0.43100511073253833
A1MBOBY8S6CK3J,0,0,0,10,10,0.2
A1FGSZ042NZ694,0,1,1,1,2,0.0
A3N7R7P9HP2YB6,0,0,0,1,1,0.0
A3P7M9666KJCP,1,0,0,0,1,0.0
A7150GR6HHY5D,1,0,1,0,1,0.0
A2FUMA4UR6S920,1,0,1,0,1,0.0
A2LN42YO5UY41W,0,0,0,1,1,0.0
A35DS4T8H1MWYD,1,0,0,0,1,0.0
A3JN18TC8GL3IH,153,102,96,16,271,0.47232472324723246
A33M7EZ72P8TWF,2,1,1,0,3,0.6666666666666666
A1NYV6LPHCYADS,5,7,6,607,619,0.12116316639741519
A2Z2MH6EOHSLMP,0,0,0,1,1,0.0
A3HMDGRGC5JB7E,0,0,0,2,2,0.0
A122E99M2DQY1G,0,1,0,0,1,1.0
A2XI3DX3IJ1TAV,0,0,0,1,1,0.0
A194R45ACMQEOR,2,3,1,4,9,0.1111111111111111
A36QYJDZBOQ5PQ,0,1,0,0,1,1.0
A289DF24X3Q8JZ,0,0,0,1,1,0.0
AEF601SQFOSBL,0,0,0,1,1,0.0
A1Q0KGPCD263MD,0,1,0,0,1,0.0
A1FPCIKO68OQ63,3,0,1,1,4,0.5
A2J7L7S9GCPJ8V,0,0,0,1,1,0.0
A681XM15AN28F,1,0,0,3,4,0.5
A2OZ5SOGNN9QOA,4,3,5,3,10,0.1
AJFS39RTZY3LC,1,9,5,1785,1795,0.13481894150417828
A2A2PCKG5Q3U2G,0,0,0,1,1,0.0
ARTQWWNFA7IOD,0,0,0,1,1,0.0
A35T6IAX6MHNHC,1,2,1,0,3,0.6666666666666666
A9WGDBDXUNLOD,0,0,0,1,1,0.0
A3IW1QWWE49YLR,0,0,0,1,1,0.0
A21AVVEQUEX7DA,0,0,0,2,2,0.0
AXQWKUJF7SQXP,0,1,1,0,1,0.0
A2Z3I9XW0SHBPY,1,0,0,0,1,0.0
A2HVCE3UU4F3PU,0,0,0,5,5,0.4
A1GV0UZU0T2ORS,0,0,0,1,1,0.0
A2TC1ZFCTOCDA5,0,0,0,1,1,0.0
A3EQ6C5226X6XN,0,1,1,3,4,0.0
A3R34K71F8YB9D,0,0,0,1,1,1.0
A2KJ983WWTEK4L,0,0,0,3,3,0.0
A3760PCQD2MPIO,1,1,1,0,2,0.5
A1YYDRHVY4LL8K,0,0,0,1,1,0.0
A2MPA5OAT635HG,0,1,0,0,1,1.0
A1CO14TFKZTC8V,0,0,0,1,1,0.0
A39YBLQYIUBR76,0,0,0,1,1,0.0
A3NND5DLB35WTX,55,23,24,11,89,0.4157303370786517
A1ELYVM5GQIBM0,3,2,4,0,5,0.2
ADQ5G2XTCJBVY,0,0,0,1,1,0.0
AFS04JY1ZARXK,4,4,2,1,9,0.4444444444444444
A1IU5OP7BBZHZ7,0,2,1,0,2,0.5
AKJ8CNFZH73K6,0,0,0,1,1,0.0
